timestamp,host,adminstatus,interface,subinterface,neighbor_description,intstatus,SFPinfo,lastchangeint,Neighbor_System_name,Neigh_port_id
35:04.2,c11x98anrb1.network.microsoft.com,UP,Ethernet8/1,,link;c11x98a721y;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a721y.network.microsoft.com,Ethernet29/1
35:04.3,c11x98anrb1.network.microsoft.com,UP,Management1,,MGMT,UP,,15:48.8,c11x98anraa.network.microsoft.com,Ethernet1
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet7/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet3/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet6/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet5/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet5/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet4/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet4/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet3/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet7/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet7/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet6/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet5/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet4/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet3/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,UP,Ethernet9/1,,link;c11x98a722y;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a722y.network.microsoft.com,Ethernet29/1
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet7/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet4/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet6/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet6/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet5/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet3/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet24/1,,link;c11x98a721z;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a721z.network.microsoft.com,Ethernet29/1
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet22/1,,,NOT_PRESENT,,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet21/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet23/1,,link;c11x98anru2;Et29/1,UP,QSFP-40G-SR4,56:17.9,c11x98anru2.network.microsoft.com,Ethernet29/1
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet22/4,,,NOT_PRESENT,,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet22/2,,,NOT_PRESENT,,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet21/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet21/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet21/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet20/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet20/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet32/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet22/3,,,NOT_PRESENT,,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet36/4,,,NOT_PRESENT,SPP5200LR-C6,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet32/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet20/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet20/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet34/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet33/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Port-Channel100,,,DOWN,,15:22.4,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet34/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet34/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet30/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet26/1,,link;c11x98a723z;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a723z.network.microsoft.com,Ethernet29/1
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet35/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet32/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet30/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet28/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet27/1,,link;c11x98a724z;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a724z.network.microsoft.com,Ethernet29/1
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet36/2,,,NOT_PRESENT,SPP5200LR-C6,00:00.0,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet35/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet35/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet35/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet33/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet31/1,25,link;c11x98ca902;FortyGig0/1/0/4/1,UP,QSFP-40G-SR4,19:01.2,c11x98ca902.network.microsoft.com,FortyGigE0/1/0/4/0
35:04.4,c11x98anrb1.network.microsoft.com,UP,Ethernet31/1,8,link;c11x98ca902;FortyGig0/1/0/4/1,UP,QSFP-40G-SR4,19:01.2,c11x98ca902.network.microsoft.com,FortyGigE0/1/0/4/0
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet30/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet28/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet28/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.4,c11x98anrb1.network.microsoft.com,DOWN,Ethernet28/1,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet34/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet33/4,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet30/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,UP,Ethernet29/1,8,link;c11x98ca901;FortyGig0/1/0/4/1,UP,QSFP-40G-SR4,19:01.2,c11x98ca901.network.microsoft.com,FortyGigE0/1/0/4/0.25
35:04.5,c11x98anrb1.network.microsoft.com,UP,Ethernet29/1,25,link;c11x98ca901;FortyGig0/1/0/4/1,UP,QSFP-40G-SR4,19:01.2,c11x98ca901.network.microsoft.com,FortyGigE0/1/0/4/0.25
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet36/3,,,NOT_PRESENT,SPP5200LR-C6,00:00.0,,
35:04.5,c11x98anrb1.network.microsoft.com,UP,Ethernet36/1,,link;LUMEN:DIA-VPN;Service Identifier:441296078,UP,SPP5200LR-C6,19:01.4,,
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet33/2,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet32/3,,,DOWN,QSFP-40G-SR4,18:53.8,,
35:04.5,c11x98anrb1.network.microsoft.com,UP,Ethernet25/1,,link;c11x98a722z;Et29,UP,QSFP-40G-SR4,19:01.2,c11x98a722z.network.microsoft.com,Ethernet29/1
39:48.0,c11x98anrb1.network.microsoft.com,DOWN,Ethernet26/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
40:21.9,c11x98anrb1.network.microsoft.com,DOWN,Ethernet26/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
40:43.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet8/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
42:36.7,c11x98anrb1.network.microsoft.com,DOWN,Ethernet24/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
43:45.2,c11x98anrb1.network.microsoft.com,DOWN,Ethernet27/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
44:30.1,c11x98anrb1.network.microsoft.com,UP,Ethernet23/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
44:42.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet24/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
44:48.3,c11x98anrb1.network.microsoft.com,UP,Ethernet23/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
44:58.6,c11x98anrb1.network.microsoft.com,UP,Ethernet23/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
45:04.1,c11x98anrb1.network.microsoft.com,DOWN,Ethernet8/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
45:09.1,c11x98anrb1.network.microsoft.com,DOWN,Ethernet25/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
45:31.3,c11x98anrb1.network.microsoft.com,UP,Ethernet31/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
45:37.7,c11x98anrb1.network.microsoft.com,DOWN,Ethernet26/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
45:54.8,c11x98anrb1.network.microsoft.com,DOWN,Ethernet8/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
46:03.3,c11x98anrb1.network.microsoft.com,UP,Ethernet31/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
49:11.7,c11x98anrb1.network.microsoft.com,DOWN,Ethernet24/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
49:40.2,c11x98anrb1.network.microsoft.com,UP,Ethernet29/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
49:47.3,c11x98anrb1.network.microsoft.com,DOWN,Ethernet9/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
50:22.9,c11x98anrb1.network.microsoft.com,DOWN,Ethernet27/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
51:09.8,c11x98anrb1.network.microsoft.com,DOWN,Ethernet25/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
53:33.1,c11x98anrb1.network.microsoft.com,DOWN,Ethernet9/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
54:24.7,c11x98anrb1.network.microsoft.com,DOWN,Ethernet9/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
55:00.5,c11x98anrb1.network.microsoft.com,DOWN,Ethernet27/2,,,DOWN,QSFP-40G-SR4,00:00.0,,
56:03.8,c11x98anrb1.network.microsoft.com,UP,Ethernet29/3,,,DOWN,QSFP-40G-SR4,00:00.0,,
57:33.4,c11x98anrb1.network.microsoft.com,UP,Ethernet29/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
57:52.3,c11x98anrb1.network.microsoft.com,UP,Ethernet31/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
57:58.8,c11x98anrb1.network.microsoft.com,DOWN,Ethernet25/4,,,DOWN,QSFP-40G-SR4,00:00.0,,
